Level,Song,Score,Performance,Difficulty,Details_Number
☆12,RUGGED ASH(LEGGENDARIA),682,A75.81%(AA - 48),CLEAR,1824
☆12,ruin of opals(ANOTHER),690,A71.26%(A + 147),HARD,2286
☆12,rumrum triplets(ANOTHER),611,AA83.76%(AAA - 166),HARD,2702
☆12,SABER WING(ANOTHER),491,AA86.64%(AAA - 70),HARD,2684
☆12,sakura storm(ANOTHER),1002,AA80.74%(AA + 88),HARD,2419
☆12,SAMURAI-Scramble(LEGGENDARIA),1030,B60.43%(B + 153),FAILED,1900
☆12,"satellite020712 from ""CODED ARMS""(ANOTHER)",698,AA81.25%(AA + 115),HARD,2691
☆12,Saturn(LEGGENDARIA),209,A70.7%(A + 146),EASY,2565
☆12,Say YEEEAHH(ANOTHER),1396,A66.86%(A + 6),FAILED,2304
☆12,SCREAM SQUAD(ANOTHER),319,AA81.62%(AA + 82),HARD,1750
☆12,SCREW // owo // SCREW(ANOTHER),540,AA80.45%(AA + 82),EASY,2481
☆12,Scripted Connection⇒ A mix(LEGGENDARIA),401,A70.46%(A + 137),EASY,2559
☆12,Secrets(LEGGENDARIA),660,A71.3%(A + 180),EASY,2782
☆12,Sense 2007(HYPER),453,AA85.62%(AAA - 77),HARD,2019
☆12,Sense 2007(ANOTHER),594,AA78.46%(AA + 20),EASY,2313
☆12,SEQUENCE CAT(ANOTHER),868,B61.64%(A - 200),FAILED,2447
☆12,Session 9 -Chronicles-(ANOTHER),767,A75.71%(AA - 72),HARD,2621
☆12,Shooting Fireball(ANOTHER),722,AA78.91%(AA + 41),HARD,2907
☆12,Sigmund(ANOTHER),,,,0
☆12,Sigmund(LEGGENDARIA),,,,0
☆12,Silver Bullet(ANOTHER),628,A66.69%(A + 1),EASY,2385
☆12,Sinus Iridum(ANOTHER),,,,0
☆12,Sirius(ANOTHER),429,AA81.77%(AA + 122),HARD,2507
☆12,Skreaming for Salvation(ANOTHER),1002,A72.85%(AA - 156),EASY,2308
☆12,Sky High(ANOTHER),632,A73.41%(AA - 168),FAILED,2816
☆12,Slipstream(ANOTHER),791,A75.89%(AA - 65),HARD,2606
☆12,Smalt #28598F(ANOTHER),831,A72.52%(AA - 180),CLEAR,2473
☆12,Smashing Wedge(ANOTHER),,,,0
☆12,smile(ANOTHER),732,AA85.93%(AAA - 97),HARD,2798
☆12,Snake Stick(ANOTHER),1170,A68.55%(A + 53),EASY,1944
☆12,Snakey Kung-fu(ANOTHER),691,AA79.04%(AA + 45),EASY,2844
☆12,snow storm(ANOTHER),949,A76.63%(AA - 41),HARD,2682
☆12,Sol Cosine Job 2(ANOTHER),507,A76.22%(AA - 50),EASY,2433
☆12,SOLAR ECLIPSE(ANOTHER),513,A70.96%(A + 163),EASY,2698
☆12,SOLID STATE SQUAD(ANOTHER),769,A76.97%(AA - 31),EASY,2945
☆12,SOLID STATE SQUAD(LEGGENDARIA),,,,0
☆12,SOLID STATE SQUAD -RISEN RELIC REMIX-(ANOTHER),811,A75.98%(AA - 61),EASY,2565
☆12,Somnidiscotheque(ANOTHER),,,,0
☆12,Sounds Of Summer(ANOTHER),1011,AA80.08%(AA + 73),EASY,2561
☆12,SpaceLand☆TOYBOX(ANOTHER),578,AA80.66%(AA + 88),HARD,2465
☆12,SPECIAL SUMMER CAMPAIGN!(ANOTHER),842,AA81.09%(AA + 101),HARD,2475
☆12,Sphere(ANOTHER),577,AA87.71%(AAA - 27),HARD,1998
☆12,Spica(ANOTHER),403,AA79.14%(AA + 32),HARD,1904
☆12,spiral galaxy(LEGGENDARIA),,,,0
☆12,STARLIGHT DANCEHALL(LEGGENDARIA),1341,A72.99%(AA - 174),FAILED,2648
☆12,starmine(ANOTHER),912,AA81.15%(AA + 74),HARD,1782
☆12,State Of The Art(ANOTHER),987,A72.47%(AA - 187),HARD,2545
☆12,STEEL NEEDLE(LEGGENDARIA),,,,0
☆12,Stereo Beasts(ANOTHER),350,AA80.02%(AA + 82),EASY,2935
☆12,stoic(ANOTHER),791,A76.59%(AA - 36),EASY,2293
☆12,StrayedCatz(ANOTHER),994,A71.77%(A + 140),EASY,1975
☆12,STULTI(ANOTHER),1153,B59.09%(B + 105),FAILED,1768
☆12,Stylus(ANOTHER),588,A71.54%(A + 169),EASY,2491
☆12,Summer Vacation(CU mix)(HYPER),833,A75.19%(AA - 69),CLEAR,1997
☆12,Summerlights(IIDX Edition)(ANOTHER),1389,A74.73%(AA - 101),EASY,2472
☆12,Super Freak(ANOTHER),656,A73.42%(AA - 156),EASY,2627
☆12,Super Rush(ANOTHER),739,AAA89.09%(AAA + 7),HARD,3063
☆12,suspicions(ANOTHER),,,,0
☆12,Sweet Clapper(LEGGENDARIA),884,AA78.18%(AA + 13),EASY,2519
☆12,SWEET LAB(ANOTHER),405,AA79.21%(AA + 20),HARD,1139
☆12,Sword of Vengeance(ANOTHER),382,AA83.44%(AAA - 177),HARD,2695
☆12,SYNC-ANTHEM(ANOTHER),665,AA80.89%(AA + 107),EASY,2802
☆12,T-REX vs Velociraptor (In the Far east euphoria)(ANOTHER),572,AA83.51%(AAA - 173),HARD,2684
☆12,TECHNO Style Essentials(ANOTHER),817,A76.26%(AA - 46),HARD,2297
☆12,TECHNOPHOBIA(ANOTHER),738,A75.62%(AA - 67),EASY,2326
☆12,THE BLACK KNIGHT(ANOTHER),769,A77.05%(AA - 22),HARD,2296
☆12,THE BRAVE MUST DIE(ANOTHER),,,,0
☆12,The Chase(ANOTHER),764,A77.76%(AA - 1),EASY,1776
☆12,The Clown of 24stairs(ANOTHER),492,B64.5%(A - 78),FAILED,2304
☆12,THE DAY OF JUBILATIONS(ANOTHER),782,A74.14%(AA - 138),EASY,2792
☆12,THE DEEP STRIKER(LEGGENDARIA),,,,0
☆12,THE F∀UST(ANOTHER),847,B63.17%(A - 129),FAILED,2322
☆12,The Least 100sec(ANOTHER),708,A75.31%(AA - 68),HARD,2062
☆12,The Limbo(ANOTHER),675,A77.1%(AA - 22),EASY,2495
☆12,The Limbo(LEGGENDARIA),,,,0
☆12,THE PEERLESS UNDER HEAVEN(ANOTHER),893,A66.71%(A + 1),EASY,2403
☆12,The Rebellion of Sequencer(ANOTHER),,,,0
☆12,The Sampling Paradise(ANOTHER),886,A74.67%(AA - 103),EASY,2458
☆12,the trigger of innocence(LEGGENDARIA),569,AA83.71%(AAA - 211),HARD,3402
☆12,Thor's Hammer(ANOTHER),1407,B59.31%(B + 125),FAILED,1981
☆12,thunder HOUSE NATION Remix(LEGGENDARIA),562,A70.58%(A + 146),FAILED,2644
☆12,TIEFSEE(ANOTHER),605,AA79.63%(AA + 65),HARD,2814
☆12,Tiempo Loco(ANOTHER),720,A73.56%(AA - 147),EASY,2560
☆12,Time to Air(LEGGENDARIA),,,,0
☆12,Timepiece phase II(ANOTHER),493,A68.11%(A + 45),FAILED,2140
☆12,Timepiece phase II (CN Ver.)(ANOTHER),792,A69.74%(A + 81),EASY,1848
☆12,TITANS RETURN(LEGGENDARIA),,,,0
☆12,Todestrieb(ANOTHER),600,A77.76%(AA - 1),EASY,3048
☆12,TOGAKUSHI(ANOTHER),698,AA79.93%(AA + 57),HARD,2131
☆12,TOMAHAWK(ANOTHER),430,AA81.45%(AA + 135),EASY,2999
☆12,TOXIC VIBRATION(ANOTHER),989,A70.34%(A + 156),EASY,3002
☆12,TRANOID(ANOTHER),703,A72.79%(AA - 114),EASY,1661
☆12,TRANOID(LEGGENDARIA),,,,0
☆12,Trill auf G(ANOTHER),539,A77.58%(AA - 7),EASY,2498
☆12,Triple Counter(ANOTHER),848,A77.14%(AA - 26),EASY,3081
☆12,Triple Cross(ANOTHER),590,AA79.89%(AA + 71),EASY,2705
☆12,tripping contact(teranoid&MC Natsack Remix)(ANOTHER),620,AA81.78%(AA + 109),EASY,2236
☆12,TRIUMPH(ANOTHER),654,AA85.16%(AAA - 127),HARD,2880
☆12,TROOPERS(ANOTHER),475,AA86.51%(AAA - 77),HARD,2796
☆12,True Blue(ANOTHER),895,A75.92%(AA - 67),HARD,2695
☆12,Twelfth Style(LEGGENDARIA),563,A73.74%(AA - 142),EASY,2578
☆12,Ubertreffen(LEGGENDARIA),773,A71.04%(A + 138),EASY,2249
☆12,Umbral(LEGGENDARIA),360,AA81.48%(AA + 112),HARD,2464
☆12,Unbelief(ANOTHER),645,A68.65%(A + 68),EASY,2356
☆12,Unicorn tail(ANOTHER),592,AA85.43%(AAA - 127),HARD,3132
☆12,Usual Days-remix(ANOTHER),587,A76.26%(AA - 45),EASY,2248
☆12,Valanga(ANOTHER),677,AA79.55%(AA + 64),EASY,2875
☆12,VANESSA(ANOTHER),966,B62.88%(A - 99),FAILED,1631
☆12,VANESSA(LEGGENDARIA),,,,0
☆12,Verflucht(ANOTHER),891,B61.24%(A - 212),EASY,2387
☆12,Verflucht(LEGGENDARIA),,,,0
☆12,Vermilion Carol(ANOTHER),477,A74.82%(AA - 105),EASY,2653
☆12,Vinculum stellarum(ANOTHER),685,A71.28%(A + 175),EASY,2713
☆12,Violet Pulse(LEGGENDARIA),,,,0
☆12,Viridian(ANOTHER),644,A71.51%(A + 177),EASY,2620
☆12,Visterhv(ANOTHER),606,AA80.58%(AA + 100),EASY,2872
☆12,Vitrum(ANOTHER),867,A73.78%(AA - 137),HARD,2513
☆12,VOLAQUAS(ANOTHER),438,A74.36%(AA - 137),EASY,2979
☆12,voltississimo(ANOTHER),1241,A70.92%(A + 155),EASY,2587
☆12,VOX UP(ANOTHER),762,A73.53%(AA - 158),EASY,2728
☆12,VØID(ANOTHER),377,B66.41%(A - 9),EASY,2270
☆12,Wanna Party?(LEGGENDARIA),946,AA82.81%(AA + 133),EASY,2196
☆12,waxing and wanding(LEGGENDARIA),,,,0
☆12,We're so Happy (P*Light Remix) IIDX ver.(ANOTHER),907,AA79.22%(AA + 49),HARD,2719
☆12,Welcome(LEGGENDARIA),588,A73.92%(AA - 136),EASY,2605
☆12,WHA(ANOTHER),365,A72.23%(A + 214),EASY,2785
☆12,WONDER WALKER(ANOTHER),873,AA78.05%(AA + 10),HARD,2991
☆12,X(ANOTHER),1085,B61.77%(A - 205),FAILED,2577
☆12,X-DEN(ANOTHER),1231,C53.04%(B - 112),FAILED,2355
☆12,Xb10r(ANOTHER),,,,0
☆12,Xerulean(ANOTHER),651,B62.44%(A - 153),FAILED,2253
☆12,Xlo(ANOTHER),1149,A68.83%(A + 83),EASY,2665
☆12,Xperanza(ANOTHER),549,AA86.54%(AAA - 80),HARD,2939
☆12,Y&Co. is dead or alive(ANOTHER),457,A72.63%(AA - 146),EASY,2054
☆12,YAKSHA(ANOTHER),1125,B65.08%(A - 65),EASY,2646
☆12,yellow head joe(ANOTHER),683,AA82.51%(AA + 136),HARD,2373
☆12,Ypsilon(LEGGENDARIA),755,A71.46%(A + 172),EASY,2567
☆12,ZEPHYRANTHES(LEGGENDARIA),697,A71.71%(A + 200),EASY,2847
☆12,ZETA～素数の世界と超越者～(ANOTHER),891,A76.83%(AA - 36),EASY,2838
☆12,Zirkfied(ANOTHER),791,A69.43%(A + 104),EASY,2634
☆12,ZZ(ANOTHER),708,AA79.33%(AA + 51),HARD,2613
☆12,ΕΛΠΙΣ(ANOTHER),931,A71.56%(A + 154),EASY,2257
☆12,ΕΛΠΙΣ(LEGGENDARIA),609,B64.93%(A - 63),FAILED,2357
☆12,†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT)(ANOTHER),,,FAILED,0
☆12,∀(ANOTHER),684,A73.84%(AA - 148),EASY,2775
☆12,〆(ANOTHER),832,AA79.98%(AA + 85),HARD,3092
☆12,《PL|RAYER》(ANOTHER),529,AA84.27%(AAA - 132),HARD,2395
☆12,お米の美味しい炊き方、そしてお米を食べることによるその効果。(LEGGENDARIA),702,A67.39%(A + 27),EASY,2515
☆12,お菓子の王国(ANOTHER),875,A73.72%(AA - 174),EASY,3148
☆12,がっつり陰キャ!? 怪盗いいんちょの億劫^^;(ANOTHER),709,A73.21%(AA - 198),EASY,3164
☆12,それは花火のような恋(ANOTHER),1386,A71.45%(A + 184),EASY,2758
☆12,ぞうしょく！？マイデンティティ(ANOTHER),546,A72.16%(A + 196),EASY,2579
☆12,たまゆら(ANOTHER),695,AA82.89%(AA + 147),HARD,2389
☆12,めいさいアイドル☆あいむちゃん♪(ANOTHER),800,A72.84%(AA - 182),EASY,2676
☆12,アストライアの双皿(ANOTHER),805,A71.9%(A + 158),EASY,2177
☆12,イザナミノナゲキ(ANOTHER),868,A75.98%(AA - 64),FAILED,2688
☆12,カゴノトリ～弐式～(ANOTHER),854,A70.05%(A + 107),FAILED,2222
☆12,カジノファイヤーことみちゃん(ANOTHER),699,B66.28%(A - 12),CLEAR,1958
☆12,キャトられ恋はモ～モク(ANOTHER),686,B65.59%(A - 46),FAILED,2781
☆12,シムルグの目醒め(ANOTHER),837,A72.2%(A + 201),EASY,2621
☆12,シュレーディンガーの猫(ANOTHER),825,A72.46%(AA - 180),EASY,2442
☆12,スーパー戦湯ババンバーン(ANOTHER),483,AA81.26%(AA + 118),HARD,2766
☆12,ディスコルディア(ANOTHER),346,A73.05%(AA - 198),EASY,3052
☆12,デモーニッシュ(LEGGENDARIA),432,AA79.92%(AA + 68),EASY,2540
☆12,トリカゴノ鳳凰(ANOTHER),866,AA79.34%(AA + 53),HARD,2712
☆12,ハイテックトキオ(LEGGENDARIA),608,A75.87%(AA - 64),HARD,2534
☆12,バッド・スイーツ、バッド・ドリーム(ANOTHER),455,AA83.02%(AA + 161),HARD,2562
☆12,バンブーソード・ガール(ANOTHER),1043,A71.48%(A + 160),EASY,2376
☆12,ピアノ協奏曲第1番”蠍火” (BlackY Remix)(ANOTHER),500,A75.94%(AA - 72),FAILED,2942
☆12,ピアノ協奏曲第１番”蠍火”(ANOTHER),933,A68.61%(A + 67),FAILED,2374
☆12,"ピアノ独奏無言歌 ""灰燼""(ANOTHER)",,,,0
☆12,ミッドナイト堕天使(ANOTHER),752,AA84.73%(AAA - 130),HARD,2630
☆12,ミラージュ・レジデンス(ANOTHER),842,AA79.96%(AA + 67),HARD,2458
☆12,リリーゼと炎龍レーヴァテイン(ANOTHER),671,AA79.25%(AA + 54),HARD,2929
☆12,ワルツ第17番 ト短調”大犬のワルツ”(ANOTHER),537,A69.72%(A + 139),EASY,3193
☆12,世界の果てに約束の凱歌を -ReUnion-(ANOTHER),699,AA78.26%(AA + 18),EASY,3002
☆12,九尾狐夜行(ANOTHER),837,AA83.3%(AA + 169),HARD,2549
☆12,二人ノ廃城幽踊宴(ANOTHER),,,,0
☆12,仮想空間の旅人たち(LEGGENDARIA),1247,A72.84%(AA - 180),EASY,2647
☆12,伐折羅-vajra-(ANOTHER),1040,B65.69%(A - 36),FAILED,2403
☆12,俺ら東京さ行ぐだ(LEGGENDARIA),386,A70.59%(A + 144),EASY,2599
☆12,儚キ戀ノ幻想譚(ANOTHER),675,A74.33%(AA - 124),EASY,2676
☆12,共鳴遊戯の華(ANOTHER),1259,C52.58%(B - 123),FAILED,2160
☆12,冥(ANOTHER),967,B55.9%(B + 13),EASY,2236
☆12,凛として咲く花の如く(LEGGENDARIA),1054,AA84.57%(AAA - 153),HARD,2987
☆12,刃図羅(ANOTHER),935,AA78.94%(AA + 41),HARD,2826
☆12,千年ノ理(ANOTHER),1137,A73.93%(AA - 137),EASY,2623
☆12,千年ノ理(LEGGENDARIA),,,,0
☆12,卑弥呼(ANOTHER),,,,0
☆12,即席！脳直★ミュージックシステム(ANOTHER),486,AA79.48%(AA + 59),HARD,2758
☆12,君のハートにロックオン(ANOTHER),599,A67.31%(A + 23),FAILED,2473
☆12,嘆きの樹(ANOTHER),786,A72.9%(AA - 196),FAILED,2916
☆12,夏色DIARY - L.E.D.-G STYLE MIX -(ANOTHER),883,A76.25%(AA - 42),HARD,2100
☆12,天空の夜明け(ANOTHER),1469,C54.02%(B - 70),FAILED,2443
☆12,天邪鬼(ANOTHER),584,A76.85%(AA - 33),EASY,2702
☆12,子供の落書き帳(ANOTHER),802,A72.89%(AA - 123),HARD,1828
☆12,少年A(ANOTHER),662,A71.79%(A + 139),EASY,1947
☆12,少年は空を辿る(ANOTHER),591,A70.07%(A + 130),EASY,2674
☆12,廿(LEGGENDARIA),773,A73.82%(AA - 141),FAILED,2631
☆12,恋する☆宇宙戦争っ！！(ANOTHER),743,AA83.4%(AAA - 205),HARD,3099
☆12,恋する☆宇宙戦争っ！！(LEGGENDARIA),421,A72.98%(AA - 219),EASY,3322
☆12,恋愛＝精度×認識力(ANOTHER),383,A76.52%(AA - 44),EASY,2626
☆12,抱きしめてモナムール(ANOTHER),638,AA79.36%(AA + 67),EASY,3379
☆12,摩天楼(ANOTHER),467,A75.84%(AA - 52),EASY,1996
☆12,旅人リラン(ANOTHER),614,AA78.07%(AA + 8),HARD,2303
☆12,旋律のドグマ～Miserables～(ANOTHER),806,A74.49%(AA - 130),EASY,2941
☆12,最小三倍完全数(ANOTHER),464,AA78.18%(AA + 11),EASY,2211
☆12,東京神話(ANOTHER),718,A74.76%(AA - 93),EASY,2292
☆12,栄冠のカンパネラ(ANOTHER),603,A68.92%(A + 90),FAILED,2757
☆12,桜(ANOTHER),362,AA80.85%(AA + 64),HARD,1693
☆12,水鏡の異界(ANOTHER),579,A73.8%(AA - 133),HARD,2462
☆12,泰東ノ翠霞(ANOTHER),527,A77.07%(AA - 19),HARD,1990
☆12,津軽雪(ANOTHER),1040,A66.87%(A + 8),EASY,2810
☆12,海神(ANOTHER),851,A75.56%(AA - 69),EASY,2353
☆12,深淵に捧ぐレクイエム(ANOTHER),781,AA80.6%(AA + 82),HARD,2347
☆12,火影(ANOTHER),897,A77.29%(AA - 14),HARD,2212
☆12,灼熱 Pt.2 Long Train Running(ANOTHER),1693,B60.62%(B + 175),FAILED,2100
☆12,灼熱Beach Side Bunny(ANOTHER),906,A69.06%(A + 81),ASSIST,2337
☆12,"灼熱Beach Side Bunny (かめりあ's ""Summertime D'n'B"" Remix)(ANOTHER)",453,A74.51%(AA - 107),EASY,2435
☆12,烽火連天の刃(ANOTHER),734,A69.6%(A + 104),EASY,2475
☆12,焔極OVERKILL(ANOTHER),892,A72.61%(AA - 206),FAILED,2881
☆12,煉獄のエルフェリア(ANOTHER),994,B61.36%(A - 207),FAILED,2387
☆12,狂イ咲ケ焔ノ華(ANOTHER),382,AA81.65%(AA + 146),HARD,3093
☆12,疾風迅雷(ANOTHER),715,A71.56%(A + 163),FAILED,2390
☆12,疾風迅雷(LEGGENDARIA),,,,0
☆12,真 地獄超特急 -HELL or HELL-(ANOTHER),1760,A71.38%(A + 167),EASY,2531
☆12,神のシナリオ(ANOTHER),480,AA77.98%(AA + 6),EASY,2542
☆12,神謳 -RESONANCE-(ANOTHER),1337,A72.34%(AA - 223),EASY,2969
☆12,禊(ANOTHER),856,A73.63%(AA - 132),HARD,2337
☆12,童話回廊(ANOTHER),776,AA79.67%(AA + 55),HARD,2355
☆12,紫陽花 -AZISAI-(ANOTHER),678,AA81.15%(AA + 100),HARD,2428
☆12,終焔のClaudia(ANOTHER),446,A77.65%(AA - 4),HARD,2165
☆12,聖人の塔(ANOTHER),752,A67.9%(A + 49),EASY,2712
☆12,華爛漫 -Flowers-(LEGGENDARIA),499,A76.06%(AA - 59),EASY,2615
☆12,華蝶風雪(ANOTHER),653,AA88.72%(AAA - 5),HARD,2628
☆12,華蝶風雪(LEGGENDARIA),,,,0
☆12,華麗なる大犬円舞曲(ANOTHER),937,A71.2%(A + 166),EASY,2613
☆12,表裏一体！？怪盗いいんちょの悩み(ANOTHER),758,A72.93%(AA - 206),EASY,3095
☆12,表裏一体！？怪盗いいんちょの悩み(LEGGENDARIA),301,A71.88%(A + 249),FAILED,3436
☆12,超青少年ノ為ノ超多幸ナ超古典的超舞曲(ANOTHER),1189,A76.17%(AA - 54),HARD,2515
☆12,超青少年ノ為ノ超多幸ナ超古典的超舞曲(LEGGENDARIA),,,,0
☆12,轟け！恋のビーンボール！！(ANOTHER),478,AA78.3%(AA + 18),HARD,2778
☆12,逆月(ANOTHER),622,AA77.84%(AA + 2),CLEAR,2877
☆12,金野火織の金色提言(ANOTHER),827,AA78.28%(AA + 16),EASY,2624
☆12,閠槞彁の願い(ANOTHER),1051,B65.81%(A - 29),FAILED,2215
☆12,雪上断火(ANOTHER),621,AA82.63%(AA + 139),HARD,2378
☆12,雪月花(ANOTHER),718,A74.66%(AA - 88),HARD,2107
☆12,電人、暁に斃れる。(ANOTHER),1143,A66.71%(A + 1),EASY,2311
☆12,電光(ANOTHER),313,AA82.3%(AA + 146),HARD,2660
☆12,革命(HYPER),653,A72.91%(AA - 118),HARD,1763
☆12,革命(ANOTHER),798,A67.88%(A + 34),EASY,1902
☆12,音楽(ANOTHER),418,A75.42%(AA - 65),EASY,2065
☆12,駅猫のワルツ(ANOTHER),1187,B64.43%(A - 73),FAILED,2107
☆12,鬼天(ANOTHER),1344,A67.48%(A + 24),EASY,1980
☆12,魅惑のYUMMYスイーツ(ANOTHER),626,A69.18%(A + 87),FAILED,2391
☆12,魔法のかくれんぼ(ANOTHER),722,A72.12%(A + 167),EASY,2207
☆12,黒髪乱れし修羅となりて(ANOTHER),773,A74.23%(AA - 125),HARD,2598
☆12,龍と少女とデコヒーレンス(LEGGENDARIA),828,A70.64%(A + 137),EASY,2433
☆12,龍王の霊廟(Mausoleum Of The Primal Dragon)(LEGGENDARIA),524,A68.67%(A + 82),EASY,2810
☆12,Ｘ↑Ｘ↓(ANOTHER),614,AA80.19%(AA + 79),HARD,2659
