Level,Song,Score,Performance,Difficulty,Details_Number
☆12,Close the World feat.a☆ru(ANOTHER),691,AA82.24%(AA + 143),HARD,2648
☆12,Close the World feat.a☆ru(LEGGENDARIA),793,A72.34%(AA - 202),EASY,2678
☆12,CODE:0(LEGGENDARIA),212,A71.54%(A + 185),EASY,2727
☆12,CODE:1 [revision1.0.1](ANOTHER),1430,C53.56%(B - 68),FAILED,1805
☆12,Colorful Cookie(ANOTHER),733,AA87.91%(AAA - 36),HARD,3184
☆12,Colors (radio edit)(ANOTHER),972,A72.95%(AA - 122),HARD,1831
☆12,Concertino in Blue(ANOTHER),673,A75.93%(AA - 53),EASY,2164
☆12,Confiserie(ANOTHER),918,A68.73%(A + 80),FAILED,2664
☆12,CONTRACT(ANOTHER),834,A70.57%(A + 82),EASY,1482
☆12,CONTRACT(LEGGENDARIA),,,,0
☆12,Cosmic Cat(LEGGENDARIA),991,A73.44%(AA - 152),EASY,2566
☆12,COSMIC RAY(ANOTHER),778,B62.51%(A - 123),EASY,1839
☆12,Dahlia(ANOTHER),321,AA80.06%(AA + 73),HARD,2562
☆12,Dances with Snow Fairies(ANOTHER),656,A71.97%(A + 196),HARD,2660
☆12,Dances with Snow Fairies(LEGGENDARIA),,,,0
☆12,Dans la nuit de l'eternite(ANOTHER),717,A73.49%(AA - 159),EASY,2719
☆12,DARK LEGACY(ANOTHER),1028,A75.36%(AA - 90),EASY,2793
☆12,dAuntl3ss(ANOTHER),960,A70.68%(A + 142),FAILED,2502
☆12,Dawn Saga(ANOTHER),576,AA81.61%(AA + 107),HARD,2295
☆12,DAY DREAM(ANOTHER),594,A66.85%(A + 3),EASY,1361
☆12,DEADHEAT(ANOTHER),1027,A73.22%(AA - 161),EASY,2573
☆12,DEATH†ZIGOQ ～怒りの高速爆走野郎～(ANOTHER),698,A74.06%(AA - 149),EASY,2961
☆12,Despair of ELFERIA(ANOTHER),496,AA85.29%(AAA - 156),HARD,3676
☆12,Devil's Gear(ANOTHER),1039,A75.53%(AA - 80),EASY,2692
☆12,Devilz Staircase(ANOTHER),949,A67.47%(A + 26),EASY,2178
☆12,DIAMOND CROSSING(ANOTHER),589,A74.15%(AA - 122),FAILED,2493
☆12,DIAVOLO(ANOTHER),1105,B65.39%(A - 47),FAILED,2396
☆12,dica dica(ANOTHER),607,A70.21%(A + 116),CLEAR,2303
☆12,Do it!! Do it!!(ANOTHER),736,A70.47%(A + 74),EASY,1384
☆12,DOMINION(ANOTHER),790,AA83.2%(AA + 176),EASY,2714
☆12,Don't believe the hype(ANOTHER),877,A75.41%(AA - 75),EASY,2371
☆12,DORNWALD ～Junge～(ANOTHER),1017,A67.99%(A + 49),EASY,2544
☆12,Double Dribble(ANOTHER),900,AA86.45%(AAA - 92),HARD,3240
☆12,Dr. Chemical & Killing Machine(ANOTHER),735,A74.99%(AA - 108),FAILED,2878
☆12,Drastic Dramatic(ANOTHER),902,AA78.92%(AA + 39),HARD,2740
☆12,DropZ-Line-(ANOTHER),990,B63.16%(A - 125),FAILED,2237
☆12,DUAL STRIKER(ANOTHER),674,A74.68%(AA - 121),EASY,2914
☆12,DUE TOMORROW(ANOTHER),652,B59.69%(B + 127),EASY,1842
☆12,DXY!(HYPER),769,A76.95%(AA - 22),EASY,2050
☆12,DXY!(ANOTHER),654,A68.48%(A + 55),FAILED,2094
☆12,Dynamite(ANOTHER),1051,AA80.21%(AA + 101),CLEAR,3343
☆12,EBONY & IVORY(ANOTHER),760,A74.98%(AA - 88),FAILED,2362
☆12,EBONY & IVORY(LEGGENDARIA),,,,0
☆12,ECHIDNA(ANOTHER),915,B65.2%(A - 54),FAILED,2376
☆12,Eine Haube ～聖地の果てにあるもの～(ANOTHER),651,AA80.94%(AA + 85),HARD,2179
☆12,Elektrick U-Phoria(ANOTHER),743,A75.78%(AA - 71),HARD,2672
☆12,Elektrick U-Phoria(LEGGENDARIA),,,,0
☆12,Elemental Creation(ANOTHER),956,B66.13%(A - 24),FAILED,2939
☆12,EMERALDAS(ANOTHER),,,,0
☆12,Empire of Fury(ANOTHER),915,A75.2%(AA - 84),EASY,2435
☆12,encounter(ANOTHER),757,AA79.96%(AA + 74),HARD,2733
☆12,entelecheia(ANOTHER),974,A75.59%(AA - 78),EASY,2688
☆12,era (nostalmix)(HYPER),364,AA88.29%(AAA - 12),HARD,1681
☆12,era (nostalmix)(ANOTHER),949,A71.17%(A + 110),EASY,1745
☆12,era (step mix)(ANOTHER),345,AA79.32%(AA + 37),EASY,1945
☆12,eRAseRmOToRpHAntOM(ANOTHER),551,A75.78%(AA - 72),EASY,2725
☆12,EROICA(ANOTHER),788,A68.64%(A + 93),FAILED,3244
☆12,EVANESCENT(ANOTHER),713,A73.63%(AA - 152),HARD,2680
☆12,Evans(ANOTHER),556,AA85.71%(AAA - 92),HARD,2465
☆12,Everlasting Message(ANOTHER),446,A74.4%(AA - 121),EASY,2650
☆12,EXUSIA(ANOTHER),579,AA79.87%(AA + 83),HARD,3163
☆12,F(ANOTHER),1117,B66.62%(A - 2),EASY,2345
☆12,FAKE TIME(HYPER),,,HARD,0
☆12,FAKE TIME(ANOTHER),903,AA84.13%(AAA - 113),EASY,1982
☆12,fallen leaves -IIDX edition-(ANOTHER),719,A72.87%(AA - 180),FAILED,2670
☆12,FANTASTIC THREE(ANOTHER),685,A76.03%(AA - 63),EASY,2728
☆12,Fascination MAXX(ANOTHER),776,A69.88%(A + 75),HARD,1631
☆12,Feel The Beat(LEGGENDARIA),1625,B63.38%(A - 124),EASY,2382
☆12,Fegrix(ANOTHER),959,A72.6%(AA - 187),EASY,2618
☆12,fffff(ANOTHER),859,A67.82%(A + 39),EASY,2310
☆12,Fire Beat(ANOTHER),423,A76.31%(AA - 44),HARD,2271
☆12,Flashes(ANOTHER),1518,B62.06%(A - 193),FAILED,2594
☆12,FLOWER(ANOTHER),784,AA82.08%(AA + 128),HARD,2451
☆12,Flying Castle(ANOTHER),922,A69.85%(A + 120),EASY,2639
☆12,four pieces of heaven(ANOTHER),654,A67.68%(A + 25),EASY,1711
☆12,four pieces of heaven(LEGGENDARIA),,,,0
☆12,frequent(ANOTHER),765,A74.08%(AA - 135),EASY,2698
☆12,Friction[!]Function(ANOTHER),1067,A71.25%(A + 141),HARD,2203
☆12,FUZIN RIZIN(ANOTHER),490,AA84.67%(AAA - 163),HARD,3270
☆12,G2(ANOTHER),762,A75.38%(AA - 66),EASY,2076
☆12,G59(ANOTHER),785,A71.43%(A + 190),EASY,2857
☆12,GAIA(ANOTHER),883,A68.26%(A + 59),CLEAR,2531
☆12,GALGALIM(ANOTHER),614,AA79.28%(AA + 36),EASY,1898
☆12,GAME ON(ANOTHER),383,AA84.05%(AAA - 155),EASY,2676
☆12,Ganymede(ANOTHER),774,AA80.85%(AA + 83),HARD,2204
☆12,Ganymede(LEGGENDARIA),553,AA78.32%(AA + 15),EASY,2179
☆12,garden(ANOTHER),525,AA82.34%(AA + 127),CLEAR,2299
☆12,GENE(ANOTHER),776,A77.77%(AA - 1),HARD,3089
☆12,GENOCIDE(HYPER),781,A67.46%(A + 19),EASY,1634
☆12,GENOCIDE(ANOTHER),571,A69.06%(A + 69),EASY,2011
☆12,Ghost Pulse(ANOTHER),431,AA78.84%(AA + 30),HARD,2239
☆12,GHOST REVIVAL(ANOTHER),849,A71.15%(A + 126),HARD,2005
☆12,GIGA THRASH(ANOTHER),935,A77.48%(AA - 9),EASY,2329
☆12,gigadelic(HYPER),346,AA81.98%(AA + 93),HARD,1820
☆12,gigadelic(ANOTHER),427,AA80.99%(AA + 86),HARD,2177
☆12,GiGaGaHell(ANOTHER),718,A71.8%(A + 163),HARD,2289
☆12,GIGANT(LEGGENDARIA),762,A77.48%(AA - 9),EASY,2295
☆12,glacia(ANOTHER),598,A77.59%(AA - 6),EASY,2323
☆12,Glitch N Ride(ANOTHER),717,E31.28%(D - 56),FAILED,844
☆12,Go Ahead!!(ANOTHER),863,A69.35%(A + 75),FAILED,1946
☆12,Go Beyond!!(ANOTHER),1068,A67.94%(A + 27),CLEAR,1477
☆12,GO OVER WITH GLARE -ROOTAGE 26-(ANOTHER),617,A74.76%(AA - 107),EASY,2645
☆12,GOBBLE(HYPER),493,A71.48%(A + 88),FAILED,1311
☆12,Godspeed(ANOTHER),697,A76.22%(AA - 54),CLEAR,2602
☆12,GOLDEN CROSS(ANOTHER),855,A75.21%(AA - 79),HARD,2300
☆12,Grand Chariot(ANOTHER),1020,A68.73%(A + 77),FAILED,2565
☆12,Gravigazer(ANOTHER),1085,A72.11%(A + 166),HARD,2198
☆12,GRAVITON(ANOTHER),462,A76.17%(AA - 59),FAILED,2762
☆12,GRID KNIGHT(LEGGENDARIA),385,AA80.59%(AA + 104),EASY,2990
☆12,GuNGNiR(ANOTHER),1039,B65.54%(A - 49),FAILED,2851
☆12,GuNGNiR(LEGGENDARIA),,,,0
☆12,HADES(ANOTHER),1022,AA81.75%(AA + 124),HARD,2557
☆12,HAERETICUS(ANOTHER),975,A70.49%(A + 117),EASY,2164
☆12,HARD BRAIN(ANOTHER),885,A75.96%(AA - 70),HARD,2891
☆12,hard-wired(ANOTHER),,,,0
☆12,Hat Surprise (Season 2)(ANOTHER),452,AA80.77%(AA + 101),HARD,2751
